nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;82.91;GORONTALO
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;82.17;""SULAWESI BARAT"""
Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;94.76;MALUKU
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;90.83;""MALUKU UTARA"""
"Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;91.13;""PAPUA BARAT"""
Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;69.07;PAPUA
Angka Partisipasi Sekolah ( A P S );13-15;2012;Tahun;89.76;INDONESIA
Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;74.59;ACEH
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;69.86;""SUMATERA UTARA"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;71.24;""SUMATERA BARAT"""
Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;66.55;RIAU
Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;59.71;JAMBI
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;58.66;""SUMATERA SELATAN"""
Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;67.76;BENGKULU
Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;60.43;LAMPUNG
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;52.02;""KEP. BANGKA BELITUNG"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;70.94;""KEP. RIAU"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;61.87;""DKI JAKARTA"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;56.3;""JAWA BARAT"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;58.65;""JAWA TENGAH"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;80.04;""DI YOGYAKARTA"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;61.87;""JAWA TIMUR"""
Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;59.8;BANTEN
Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;71.44;BALI
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;61.07;""NUSA TENGGARA BARAT"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;61.92;""NUSA TENGGARA TIMUR"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;55.13;""KALIMANTAN BARAT"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;55.06;""KALIMANTAN TENGAH"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;58.16;""KALIMANTAN SELATAN"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;71.73;""KALIMANTAN TIMUR"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;-;""KALIMANTAN UTARA"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;65.28;""SULAWESI UTARA"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;61.05;""SULAWESI TENGAH"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;62.16;""SULAWESI SELATAN"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;65.04;""SULAWESI TENGGARA"""
Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;59.37;GORONTALO
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;56.8;""SULAWESI BARAT"""
Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;68.33;MALUKU
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;69.01;""MALUKU UTARA"""
"Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;65.04;""PAPUA BARAT"""
Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;50.01;PAPUA
Angka Partisipasi Sekolah ( A P S );16-18;2012;Tahun;61.49;INDONESIA
Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;28.55;ACEH
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;17.27;""SUMATERA UTARA"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;27.55;""SUMATERA BARAT"""
Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;15.81;RIAU
Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;15.22;JAMBI
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;13.91;""SUMATERA SELATAN"""
Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;19.64;BENGKULU
Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;11.9;LAMPUNG
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;9.3;""KEP. BANGKA BELITUNG"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;10.14;""KEP. RIAU"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;18.02;""DKI JAKARTA"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;12.25;""JAWA BARAT"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;11.83;""JAWA TENGAH"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;44.69;""DI YOGYAKARTA"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;14.59;""JAWA TIMUR"""
Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;15.97;BANTEN
Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;18.99;BALI
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;17.82;""NUSA TENGGARA BARAT"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;17.92;""NUSA TENGGARA TIMUR"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;14.17;""KALIMANTAN BARAT"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;14.04;""KALIMANTAN TENGAH"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;16.48;""KALIMANTAN SELATAN"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;20.33;""KALIMANTAN TIMUR"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;-;""KALIMANTAN UTARA"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;16.12;""SULAWESI UTARA"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;16.74;""SULAWESI TENGAH"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;23.17;""SULAWESI SELATAN"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;23.62;""SULAWESI TENGGARA"""
Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;20.46;GORONTALO
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;14.65;""SULAWESI BARAT"""
Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;28.98;MALUKU
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;21.79;""MALUKU UTARA"""
"Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;20.03;""PAPUA BARAT"""
Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;13.86;PAPUA
Angka Partisipasi Sekolah ( A P S );19-24;2012;Tahun;16.05;INDONESIA
Angka Partisipasi Sekolah ( A P S );7-12;2013;Tahun;99.66;ACEH
"Angka Partisipasi Sekolah ( A P S );7-12;2013;Tahun;99.03;""SUMATERA UTARA"""
